Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity Min,Relative Humidity Max,Relative Humidity Mean,Heat Index Min,Heat Index Max,Heat Index Mean,Wind Speed Min,Wind Speed Max,Wind Speed Mean,Wind Gust,Wind Direction,Wind Chill Min,Wind Chill Max,Wind Chill Mean,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 01:00:00",89.9,89.9,89.9,66.8,,,46.59,,,,,,,,112.0,,,,0.0,,,9.9,1.4,1010.7,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 02:00:00",87.1,87.1,87.1,66.8,,,50.94,,,,,,,,120.0,,,,0.0,,,9.9,0.6,1011.1,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 03:00:00",84.8,84.8,84.8,65.1,,,51.72,,,,,,,,121.0,,,,0.0,,,9.9,1.2,1011.6,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 04:00:00",83.0,83.0,83.0,66.7,,,57.96,,,,,,,,130.0,,,,0.0,,,9.9,0.6,1012.1,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 05:00:00",81.0,81.0,81.0,67.8,,,64.31,,,,,,,,140.0,,,,0.0,,,9.9,0.0,1012.2,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 06:00:00",77.1,77.1,77.1,67.8,,,73.14,,,,,,,,12.0,,,,0.0,,,9.9,0.0,1012.1,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 07:00:00",74.2,74.2,74.2,67.8,,,80.57,,,,,,,,180.0,,,,0.0,,,9.9,0.0,1011.8,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 08:00:00",70.4,70.4,70.4,66.7,,,88.01,,,,,,,,346.0,,,,0.0,,,9.9,0.0,1011.2,"Light Rain",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 09:00:00",69.4,69.4,69.4,66.7,,,91.27,,,,,,,,354.0,,,,0.0,,,9.9,0.0,1010.8,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 10:00:00",66.3,66.3,66.3,65.0,,,95.67,,,,,,,,335.0,,,,0.0,,,8.2,0.0,1010.7,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 11:00:00",68.1,68.1,68.1,65.0,,,89.91,,,,,,,,354.0,,,,0.0,,,9.9,0.0,1010.2,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 12:00:00",67.0,67.0,67.0,65.9,,,96.0,,,,,,,,354.0,,,,0.0,,,7.0,1.1,1010.9,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 13:00:00",75.0,75.0,75.0,65.9,,,73.45,,,,,,,,2.0,,,,0.0,,,9.9,1.1,1011.5,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 14:00:00",79.2,79.2,79.2,66.7,,,65.77,,,,,,,,142.0,,,,0.0,,,9.9,1.1,1012.3,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 15:00:00",84.0,84.0,84.0,66.7,,,56.31,,,,,,,,141.0,,,,0.0,,,9.9,1.1,1012.2,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 16:00:00",87.2,87.2,87.2,66.7,,,50.73,,,,,,,,180.0,,,,0.0,,,9.9,1.1,1011.8,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 17:00:00",89.2,89.2,89.2,64.9,,,44.79,,,,,,,,210.0,,,,0.0,,,9.9,1.1,1011.3,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 18:00:00",90.1,90.1,90.1,64.9,,,43.5,,,,,,,,171.0,,,,0.0,,,9.9,1.1,1010.9,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 19:00:00",92.0,92.0,92.0,66.7,,,43.48,,,,,,,17.2,150.0,,,,0.0,,,9.9,1.1,1010.2,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 20:00:00",92.0,92.0,92.0,65.7,,,42.08,,,,,,,18.3,140.0,,,,0.0,,,9.9,1.1,1009.6,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 21:00:00",93.8,93.8,93.8,65.8,,,39.9,,,,,,,19.7,131.0,,,,0.0,,,9.9,0.0,1009.0,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 22:00:00",93.8,93.8,93.8,62.1,,,35.11,,,,,,,,121.0,,,,0.0,,,9.9,0.0,1008.6,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/19/2021 23:00:00",92.9,92.9,92.9,64.0,,,38.56,,,,,,,,131.0,,,,0.0,,,9.9,0.0,1008.0,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/20/2021 00:00:00",92.9,92.9,92.9,63.9,,,38.5,,,,,,,,151.0,,,,0.0,,,9.9,0.0,1007.9,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"324, East McKinney Street, Denton, Denton County, Texas, 76201, United States","06/20/2021 01:00:00",90.0,90.0,90.0,64.0,,,42.18,,,,,,,,160.0,,,,0.0,,,9.9,0.0,1008.1,"",33.216,-97.1288,"324 E McKinney St, Denton, TX 76201, United States","324 E McKinney St, Denton, TX 76201, United States","","Clear"
"","",,,,,,,,,,,,,,,,,,,0.0,,,,,,"",,,"","","The geographic location of -97.129033 could not be found. If this is a partial address, please consider adding addition details such as the city, state or country.",""
